I have	"J'ai"
tu es allé / vous etes allé	you went
nous sommes allé	we went
ils sont allé	they went
"j'ai eu"	i have had
tu as eu / vous avez eu	you have had
nous avons eu	we have had
il elle a eu	he she has had
ils / elles ont eu	they have had
"j'ai bu"	I drank
tu as bu / vous avez bu	you drank
il / elle a bu	he she drank
nous avons bu	we drank
ils elles ont bu	they drank
"j'ai dit"	i said / told
tu as dit / vous avez dit	you said / told
nous avons dit	we said / told
il elle a dit	he she said / told
ils elles ont dit	they said / told
environ	About
I give	je donne
je donne	I give
you give	tu donnes, vous donnez
tu donnes, vous donnez	you give
we give	Nous donons
Nous donons	we give
they give	ils donent
ils donent	they give
I gave	"j'ai donné (donn-ee)"
"j'ai donné (donn-ee)"	I gave
you gave	vous avez donné
vous avez donné	you gave
we gave	nous avons donné
nous avons donné	we gave
I recieve	je reçois
je reçois	I recieve
you recieve	tu reçois / vous recevez
tu reçois / vous recevez	you recieve
we recieve	nous recevons
nous recevons	we recieve
they recieve	ils/elles reçoivent (res-wawrv)
ils/elles reçoivent (res-wawrv)	they recieve
To recieve	pour recevoiur
pour recevoiur	To recieve
I collect	je collecte
je collecte	I collect
you collect	tu collect, vous collectez
tu collect, vous collectez	you collect
we collect	nous collectons
nous collectons	we collect
I think	je pense (ponce)
je pense (ponce)	I think
we think	nous pensons
nous pensons	we think
you think	tu pense/ vous ponsez
tu pense/ vous ponsez	you think
letter e	uu (ew)
uu (ew)	letter e
letter G	zjee
zjee	letter G
letter H	ash
ash	letter H
Letter I	ee
ee	Letter I
letter J	zgee
zgee	letter J
letter K	kaa
kaa	letter K
letter O	ooh
ooh	letter O
Letter R	airrr
airrr	Letter R
Letter U	oou
oou	Letter U
Letter W	double ve
double ve	Letter W
Letter Y	egreck
egreck	Letter Y
I was	"j'etais (jay etay)"
"j'etais (jay etay)"	I was
You were	vous étiez (et-ee-ay)
vous étiez (et-ee-ay)	You were
we were	nous etions
nous etions	we were
They were	ils/elles étaient (et-ay)
ils/elles étaient (et-ay)	They were
I wait	"j'attends"
"j'attends"	I wait
You wait	tu attends/ vous attendez
tu attends/ vous attendez	You wait
We wait	nous attendons
nous attendons	We wait
i wish	je souhaite (swaite)
je souhaite (swaite)	i wish
you wish	tu souhaires/vous souhaitez
tu souhaires/vous souhaitez	you wish
we wish	nous souhaitons
nous souhaitons	we wish
they wish	ils/elles souhaitent (swaite)
ils/elles souhaitent (swaite)	they wish
Are you in the queue	Est-ce que vous faites la queue?
Est-ce que vous faites la queue?	Are you in the queue
Bed room	la chambre
la chambre	Bed room
The Rooms	La Pièces
La Pièces	The Rooms
Living room	Le Salon / Le Séjour
Le Salon / Le Séjour	Living room
The Micro wave	Le Micro-ondes
Le Micro-ondes	The Micro wave
Everywhere	Partout
Partout	Everywhere
Booke Shelf	La Biblioteque
La Biblioteque	Booke Shelf
More than one	Plusieuns
Plusieuns	More than one
The floor	Le Sol
Le Sol	The floor
Sofa	Le Canapé
Le Canapé	Sofa
Arm chair	Le Fauteuil (fout-aii)
Le Fauteuil (fout-aii)	Arm chair
Dining room	La Salle à manger
La Salle à manger	Dining room
Chair	La Chaise
La Chaise	Chair
The bed	La Chambre
La Chambre	The bed
Warddrobe	"L'armoire"
"L'armoire"	Warddrobe
The window	La Fenêtre
La Fenêtre	The window
The door	La Porte
La Porte	The door
Bath	La baignoire
La baignoire	Bath
Books	Les Livres
Les Livres	Books
Curtains	Les rideaux
Les rideaux	Curtains
"""too bad"""	Mais tant pis
Mais tant pis	"""too bad"""
I sell	Je vends
Je vends	I sell
You sell	tu vends / vous Vendez
tu vends / vous Vendez	You sell
We sell	Nous Vendons
Nous Vendons	We sell
they sell	ils/elles vendent
ils/elles vendent	they sell
I go down	Je descends
Je descends	I go down
you go down	tu descend / vous descendez
tu descend / vous descendez	you go down
we go down	nous descendons
nous descendons	we go down
I sold	"j'ai vendu"
"j'ai vendu"	I sold
I went down	Je suis descendu
Je suis descendu	I went down
How do you say...	Common dit-on
Common dit-on	How do you say...
Could you repeat	Pourriez vous répéter
Pourriez vous répéter	Could you repeat
How do you pronounce	"comment est-ce qu'on prononce (est ku'on)"
"comment est-ce qu'on prononce (est ku'on)"	How do you pronounce
Old	Vieux
Vieux	Old
On	Sur
Sur	On
Under	Sous
Sous	Under
In front	Devant
Devant	In front
in	Dans
Dans	in
Between	Entre
Entre	Between
Next to	A côté
A côté	Next to
to the right	à droite
à droite	to the right
To the left	à gauche
à gauche	To the left
Above	Au dessus
Au dessus	Above
Below	au dessous
au dessous	Below
In the middle	Au milieu
Au milieu	In the middle
In the corner	Dans un coin
Dans un coin	In the corner
the rent	le loyer
le loyer	the rent
I loose	Je perds (pear)
Je perds (pear)	I loose
You loose	tu perdes / vous perdez (peard-ay)
tu perdes / vous perdez (peard-ay)	You loose
we loose	Nous perdons
Nous perdons	we loose
They loose	Ils / elles perdent (pear-d)
Ils / elles perdent (pear-d)	They loose
To return&nbsp;	Rendre
Rendre	To return&nbsp;
I hear	"J'entends"
"J'entends"	I hear
you hear	Tu entends / vous entendez
Tu entends / vous entendez	you hear
True	Vrai
Vrai	True
How	comment
comment	How
Cupboard	Armoire
Armoire	Cupboard
Cupboard on the wall	Placard
Placard	Cupboard on the wall
Cooker	Un Cuisinière
Un Cuisinière	Cooker
A bin	Une Poubelle
Une Poubelle	A bin
A pan	Une Poêle [pwal]
Une Poêle [pwal]	A pan
Sink	Un évier
Un évier	Sink
I swim	je nage [naj]
je nage [naj]	I swim
you swim	vous nagez
vous nagez	you swim
we swim	nous nageons [nag-on]
nous nageons [nag-on]	we swim
to check	cocher [co-shey]
cocher [co-shey]	to check
To guess	deviner [du-vin-ay]
deviner [du-vin-ay]	To guess
Against	Contre [cont-re]
Contre [cont-re]	Against
